id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
976,The Well-Digger's Daughter,1 hr. 45 min.,Daniel Auteuil,2012,Daniel Auteuil,Astrid Bergés-Frisbe...,Nicolas Duvauchelle,Kad Merad,Sabine Azéma,Jean-Pierre Darrouss...,90,74,"""The Well-Digger's Daughter"" isn't a mind-blower; it's not supposed to be. It's a light lunch with an old friend whom it's good to see again.","Auteuil's direction is a lot like his acting -- well-mannered and likable, yet staid and ultimately inconsequential.","To call ""The Well Digger's Daughter"" an old-fashioned film is to pay it a compliment. Here is a love story embedded in traditional values.","""The Well-Digger's Daughter"" is perhaps a bit too sentimental. But the performances are so heartfelt that its occasional excesses are easily forgiven.","It's classical moviemaking of a sort rarely seen now, a love story of surprising joy with rounded, flawed but humane characters."
977,Something Better Somewhere Else,1 hr. 16 min.,Ron Lazzeretti,2010,Naomi Ashley,Megan Moore Burns,Franco Campanella,Stephanie Childers,David Pasquesi,Christian Stolte,0,25,,,,,
978,Morning,1 hr. 26 min.,Joseph Mitacek,2010,Andrew Ramaglia,Emily Cline,Walter Dalton,Deborah S. Craig,Ryan Cooper,,0,0,,,,,
979,12.12.12,1 hr. 31 min.,Parthu Saina,2012,Tyre,Sarah Lane,Steve Hanks,Jesus Guevera,Carl Donelson,Sara Malkul Lane,0,6,,,,,
980,In The Name Of The King: Two Worlds,1 hr. 36 min.,Uwe Boll,2011,Aleks Paunovic,Dolph Lundgren,Heather Doerksen,Lochlyn Munro,Natassia Malthe,,0,18,"A dumb film, but mildly entertaining if your standards are low enough to rent something called In the Name of the King 2: Two Worlds in the first place.","What's not to love about a movie that features time-traveling ninjas, a CGI dragon and a scene where Dolph Lundgren literally asks the king what his name is. Genius!","After starring in The Expendables, was Dolph Lundgren really strapped enough for cash to star in this?",,
981,Little Birds,1 hr. 34 min.,Elgin James,2012,Juno Temple,Kay Panabaker,Kate Bosworth,Kyle Gallner,Leslie Mann,Chris Coy,53,42,"Though the plotting is problematic and at times as lost as the kids, there are bursts of brilliance and moments of aching vulnerability in ""Little Birds"" that make you wonder what the filmmaker might do next.","The dreamy shots of a poisoned sea in ""Little Birds"" show an imagination sorely missing from its drab plot and characters.","Despair may be an emotion of emptiness, of the absence of hope, but that doesn't mean a movie about someone spiraling down into that emotion has to feel so empty as well.","There's a moralistic structure there, but it leaves Lily in a place that's scarcely more reassuring than the one she first abandoned. That's what makes Little Birds not just a lesson but, in its rambling way, an organic journey.","Like its teenage heroine, ""Little Birds"" is stubbornly convinced of its own unique profundity. So it's a good thing this moodily self-absorbed drama redeems itself with just enough endearing innocence."
982,Saltwater,1 hr. 21 min.,Charlie Vaughn,2012,Ronnie Kerr,Ian Roberts,Berna Roberts,Brent Henry,Jonathan Camp,Bruce L. Hart,0,50,,,,,
983,The Thompsons,1 hr. 19 min.,The Butcher Brothers,2012,Cory Knauf,Samuel Child,Joseph McKelheer,Mackenzie Firgens,Ryan Hartwig,Elizabeth Henstridge,0,31,"involves a clash not just of family values, but also of broad trans-Atlantic stereotypes, where the Hamiltons, far from their birthplace and out of their league, discover there is a reason their parents turned their back on the 'old country'.",,,,
984,Roadracers,1 hr. 35 min.,Robert Rodriguez,1994,David Arquette,Salma Hayek,John Hawkes,William Sadler,Jason Wiles,O'Neal Compton,0,68,"A slick, fast-paced greaser picture that shows off the incredible talent of director Robert Rodriguez.","Rodriguez said that he cast Arquette for the ""good sleaze factor."" Arquette's constant sneer throughout the film proves that Rodriguez was absolutely right.","A trifle, but a fun and engaging one at that.",,
985,Where There's A Will,1 hr. 20 min.,William Beaudine,1936,Will Hay,Michael Brantford,Davina Craig,Gina Malo,H.F. Maltby,Gibb McLaughlin,0,50,,,,,
986,Kingdom of Gladiators,1 hr. 25 min.,Stefano Milla,2011,Annie Social,Bryan Murphy,Leroy Kincaid,Matt Polinsky,Suzi Lorraine,Maurizio Corigliano,0,5,,,,,
987,Cosmopolis,1 hr. 48 min.,David Cronenberg,2012,Robert Pattinson,Jay Baruchel,Samantha Morton,Kevin Durand,Paul Giamatti,Juliette Binoche,64,31,"The rapid dialogue is dry and mannered, like a David Mamet play, there's virtually no story and Cronenberg's visual scheme is cold and claustrophobic.","Quickly grows repetitive and tiresome, meandering toward messages that land softly, producing little impact.",Cronenberg is not a director to be daunted by a scenario in which the antihero spends most of his time in a stretch limo. Turning it into a film that interests anyone ... is another matter,"Cronenberg's cold, exacting precision and emotionally removed observation may not grab all viewers, but under those perfect surfaces is a raw horror trying to claw out of the denial.","""Cosmopolis"" is a hypnotic examination of our modern anxieties about the dehumanization brought on by wealth, power, and technology."
988,Meant to Be,1 hr. 30 min.,Bradley Dorsey,2012,Bradley Dorsey,Dean Cain,Della Reese,Erika Eleniak,Erin Sossamon,Michael Gross,0,57,,,,,
989,That's What She Said,1 hr. 24 min.,Carrie Preston,2012,Anne Heche,Marcia DeBonis,Marcia de Bonis,Alia Shawkat,Kate Rigg,Miriam Shor,0,30,It's all directed - and played - at fever pitch with an egregious disregard for real-world comportment.,"Problems ensue, all tedious, save Bebe's all-day struggle with a yeast infection, which is gross.","""That's What She Said,"" an unpleasant comedy about friendship, aims to be a female twist on the bromance.","The road to hell is paved not just with good intentions, but with movies that attempt to capture the way women really talk.","If you see just one repellent femme-owned-and-operated comedy about unpleasant women and a stubborn case of vaginal yeast infection, you might as well make it That's What She Said, since I hope there'll never be another like it."
990,Jack and Diane,1 hr. 50 min.,Bradley Rust Gray,2012,Juno Temple,Riley Keough,Cara Seymour,Kylie Minogue,Dane DeHaan,Michael Chernus,13,21,"""The Man With the Iron Fists"" being a fairly satisfying slab of cinematic mayhem, particularly if seen in under conditions like the ones I describe from my younger days.","Devoid of energy and direction, 'J&D' settles for faux-naif posturing and arty color design.","Tonally, the film swings between whispery romance and ominous horror as it explores the dark side of love and lust ...","Throughout, the filmmaking is tentative, as though Gray is unsure whether he wants to make a fantasy-tinged romance or a hyper-sexualized blood-fest. (He winds up with neither.)","""Jack & Diane"" offers a glaring example of a writer and director, Bradley Rust Gray, unable to trust in the simple strength of his material."
991,Murder Is My Beat,1 hr. 17 min.,Edgar G. Ulmer,1955,Paul Langton,Barbara Payton,Selena Royle,Robert Shayne,Roy Gordon,Tracey Roberts,100,40,,"Most of its expressionist-tinged visual flourishes are withheld until the very end, with a final twist that's legitimately thrilling.",Edgar G. Ulmer was Poverty Row's poet laureate of despair.,"""Murder is my Beat"" is not one of your better films of the film noir genre. But, this black & white thriller directed by Edgar G. Ulmer has enough going for it to permit a recommendation.",Visually superb cross between the whodunit and the film noir crime thriller.
992,"""After Fall, Winter""",2 hr. 10 min.,Eric Schaeffer,2012,Eric Schaeffer,Lizzie Brocheré,Marie Luneau,Heather Aitken,Deborah Twiss,Rebecca Jameson,13,68,A mixed-up movie about mixed-up people.,"The lovebirds' dialogue has the sophistication of a junior high school romance, and Mr. Schaeffer appears to have pasted his story together from the button-pushing plotlines of other films.","Like his unlucky-in-love characters, prolific filmmaker Eric Schaeffer keeps trying, to little avail.",Just another faux-kinky vanity project in which its creator's neuroses are placed on an undeserved pedestal.,Another sanctimonious dose of talk-therapy cinema.
993,Game Change,1 hr. 58 min.,Jay Roach,2012,Ed Harris,Julianne Moore,Woody Harrelson,Peter MacNicol,Jamey Sheridan,Sarah Paulson,65,76,"Try as the filmmakers might, it just isn't the same. How could it be, really?",Actress Moore makes one actually feel sorry for Sarah Palin at points in this wonderful film.,"The dramatic re-creations are somewhat uneven: The convention staging is quite convincing, the campaign trail less so.",The constant use of actual news footage adds a bit of verisimilitude but also constantly raises the question of why this lightly fictionalized version of the election actually needs to exist.,"Game Change, which explores how smart people make dumb decisions, is a movie for all of us."
994,Compliance,1 hr. 30 min.,Craig Zobel,2012,Ann Dowd,Dreama Walker,Pat Healy,Bill Camp,Philip Ettinger,Ashlie Atkinson,89,60,"Dark, disturbing, confrontational stuff. Also a damn good film.",Compliance is diminutively sufficient and blandly adequate with no additional layers that elevate its small independent nature. It feels rather one note riding on the promise of a distinctive tale that never totally comes to fulfillment.,A frightening look at the power of authority and the human desire to avoid conflict.,"It never loses sight of its goal to persuade us to be more aware, more questioning of our leaders and institutions, from politicians to priests to, in this case, the police.",The only film of 2012 that had me actively booing its villain - a mundane monster who doesn't need to touch his victims to scar them for life.
995,Now Is Good,1 hr. 43 min.,Ol Parker,2012,Dakota Fanning,Jeremy Irvine,Paddy Considine,Kaya Scodelario,Olivia Williams,Edgar Canham,58,65,"Hellbent on inspiring a rush of wind-beneath-my-wings, life-affirming feeling.","[Spikes] the Nicholas Sparks-style teen Love Story plot with refreshing flashes of sex, drugs and Ellie Goulding songs.",Stunning tearjerker about teen cancer has mature themes.,"Surprisingly harsh when it comes to the dented appeal of its lead character, the movie is a predictable drag, attempting to cozy up to its young adult literary origins in a decidedly tuneless fashion.",There's nothing like a terminal illness for firing up a sappy romantic drama.
996,"""Guns, Girls and Gambling""",1 hr. 30 min.,Michael Winnick,2012,Christian Slater,Dane Cook,Helena Mattsson,Powers Boothe,Jeff Fahey,Chris Kattan,0,30,"A movie first and foremost about other movies, a derivative of derivatives, ""Guns, Girls and Gambling"" is like a losing hand at cards: It could have been a winner, but just isn't.","Nothing witty about this blood-soaked action flick. But for fans of the genre, it might be a decent time-passer, providing you don't mind ""stupid."" Most of the jokes miss the target.","For a movie in which you hope to see plenty of girls and guns, you really only get the guns... of the metal kind, that is.",,
997,Hopeful Notes,1 hr. 34 min.,Valerio Zanoli,2010,Laural Merlington,David Colin Ross,Sharon Hayes,Ian Poland,Walter Nudo,Kimberly Harsch,0,0,,,,,
998,The Assassins (Tong que tai),1 hr. 43 min.,Linshan Zhao,2012,Yun-Fat Chow,Crystal Liu Yi Fei,Hiroshi Tamaki,Su You Peng,Annie Yi,Qiu Xin Zhi,0,41,,,,,
999,The Wise Kids,1 hr. 35 min.,Stephen Cone,2012,Tyler Ross,Molly Kunz,Allison Torem,Sadieh Rifai,Matt DeCaro,Stephen Cone,100,65,Chicago indie Stephen Cone took a quantum leap forward with this moving 2011 drama about a Christian youth group in small-town South Carolina.,"""The Wise Kids"" is a guileless exploration of the growing pains of sheltered innocents whose reticence and sincerity evoke 1950s small-town values.","[Flaws are] ultimately overshadowed by Cone's excellent young actors, particularly Torem, burrowing deeply into her character's zealotry and anguish about being left behind.",Cone's feature is among the best of a recent spate of dramas observing American Christian life.,"Honest, observant, and subtle."
1000,Touchback,1 hr. 58 min.,Don Handfield,2012,Brian Presley,Melanie Lynskey,Marc Blucas,Kurt Russell,Christine Lahti,Sarah Wright,38,64,"Earnestness and obviousness compete for supremacy early on in Don Handfield's film, with the latter fully in front; happily, earnestness stages a comeback by the end.",A lightweight and overlong feel-good drama that plays like a mashup of It's a Wonderful Life and Friday Night Lights.,"Are any of them alone reason enough to sit through two hours of warmed-over life lessons? Not particularly, but it should be said that the cast and crew have made a fair stride towards redeeming earnest low-budget filmmaking of this ilk...","If George Bailey had been a high school football hero, It's a Wonderful Life might have been a little like Touchback.",Touchback takes a handoff from Peggy Sue Got Married and It's A Wonderful Life and runs it up the middle for a modest gain.
1001,25 Hill,1 hr. 55 min.,Corbin Bernsen,2011,Corbin Bernsen,Nathan Gamble,Bailee Madison,Maureen Flannigan,Timothy Omundson,Rolonda Watts,0,100,,,,,
1002,Scene of the Crime,1 hr. 34 min.,Roy Rowland,1949,Van Johnson,Arlene Dahl,Gloria de Haven,Tom Drake,Leon Ames,John McIntire,0,31,,,,"""Scene of the Crime"" is full of familiar faces from the movies of decades past. It's not all that exciting. But, it's worth a look, if for no other reason, than to see Gloria DeHaven's smoky performance.",One of the few film noirs attempted by MGM.
1003,Jab Tak Hai Jaan,2 hr. 10 min.,Yash Chopra,2012,Shahrukh Khan,Katrina Kaif,Anushka Sharma,Shah Rukh Khan,,,89,67,"Almost miraculously, the disparate elements add up to an improbably entertaining hybrid.",A sumptuous if rather soulless love story.,Romance king Yash Chopra delivers a swoon-worthy Bollywood love story.,"""Jab Tak Hai Jaan"" serves as a fitting tribute to the career of Chopra.","Even though the film drags, the magic of Bollywood is that this story's muddle of twists only clarifies the urgency behind the undying desires of all concerned parties."
1004,17 Girls,1 hr. 30 min.,Delphine Coulin,2012,Louise Grinberg,Juliette Darche,Roxane Duran,Esther Garrel,Solène Rigot,Yara Pilartz,67,39,"17 Girls is allegedly inspired by true events, but this diffident, dreamy film is so insubstantial it's hard to believe there's a speck of reality to be found in it.","The film suggests a state of grace between childhood and adulthood, but the narrative feels increasingly tentative, and the characters remain opaque - ""local divas,"" in one teacher's estimation.","The question is why this incident seemed worth dramatizing, especially in such a dreamily romanti-cized way - with perfect pregnancies and friendly baby daddies.","The movie takes you inside the dreamy collective mentality of bored, mildly rebellious girls who look with horror at the lives of their mostly working-class parents.","The movie needs a tighter grip, yet the narrative detours, including a beach party and one especially liberating confrontation, can be surprisingly joyous."
1005,About Cherry,1 hr. 42 min.,Stephen Elliott,2012,Ashley Hinshaw,Lili Taylor,Dev Patel,Heather Graham,James Franco,Jonny Weston,10,15,"Dramas about the porn industry range from expressions of puritanical rage to celebrations of open sexuality; this one manages to avoid both extremes, as well as anything else that might make it worth watching.","Here is a movie that suggests prostitution is something that just sort of happens to you, like Lyme disease.",This is just a slow-moving skin flick broken up by lots of boring discussions about Cherry's future.,The fatal flaw ... is its refusal to examine Angelina's occupation from outside the bubble. You might even call it a recruitment film.,Everything here is done badly.
1006,Branded,1 hr. 46 min.,Alexander Doulerain,2012,Ed Stoppard,Leelee Sobieski,Jeffrey Tambor,Ingeborga Dapkunaite,Ingeborga Dapkunayte,Max von Sydow,10,23,"There's almost a Seussian vibe in this heap, but no hint that it's intentional.","To borrow a hamburger chain's refrain, not lovin' it.",This fantastical fable takes aim at marketing itself with an intriguing if tendentious narrative.,"Branded"" is a confusing sci-fi thriller that takes itself much too seriously.","Satire usually implies at least a little bit of humor, and Branded is mostly humorless -- if it was ever actually trying to be funny, then it fails. If a satire should be pointed, then this movie is more on the dull side."
1007,Counterpunch,1 hr. 36 min.,Kenneth Castillo,2013,Alvaro Orlando,Danny Trejo,Oscar Torre,Steven Bauer,Camila Banus,Camila Barus,0,39,,,,,
1008,The Chicago 8,1 hr. 28 min.,Pinchas Perry,2012,Gary Cole,Mayim Bialik,Orlando Jones,Danny Masterson,Philip Baker Hall,Steven Culp,0,74,,,,,
1009,"""Farewell, My Queen""",1 hr. 40 min.,Benoît Jacquot,2012,Diane Kruger,Léa Seydoux,Virginie Ledoyen,Xavier Beauvois,Noémie Lvovsky,Michel Robin,92,55,"Jacquot has chosen wisely in casting Léa Seydoux in the key role of Sidonie, whose luminous but watchful eyes suggest a soul wise beyond her years.","""Farewell, My Queen"" is a layer cake of royal pleasures, rote protocols and revolutionary politics. For skeptics who thought this story had grown stale, let them eat their words.","Farewell, My Queen is a knife-edge drama that steadily builds tension that at times becomes as unbearably tense as the relationship between the three leading ladies.","Sidonie is a character who literally eavesdrops on history, becoming the audience's first-person yet second-hand source for such significant events as the storming of the Bastille...","His portrait loses some of its eerie power through the ugly twist at the film's conclusion, but she remains a fascinating enigma, and touchingly human."
1010,5 Broken Cameras,1 hr. 30 min.,Emad Burnat,2012,Emad Burnat,Soraya Burnat,Mohammed Burnat,Yasin Burnat,Taky-Adin Burnat,Gibreel Burnat,95,87,This is how the conflict looks from the other side of the barrier.,A tough watch that'll leave you despairing of peace anytime soon.,"As raw as the material of ""5 Broken Cameras"" can be, it is also lyrical and elegiac.","[A] bit jagged, inevitably incomplete, and in no way news-breaking: it is simply moving.","Takes the rough material of one man's life and transforms it into a story that is universal and urgent, offering firsthand witness to events that are too often portrayed as distant and impossible to understand."
1011,Won't Back Down,2 hr. 1 min.,Daniel Barnz,2012,Maggie Gyllenhaal,Viola Davis,Holly Hunter,Oscar Isaac,Rosie Perez,Emily Alyn Lind,32,61,"Funded by conservative Christian billionaire Phil Anschutz and released by rightwing overlord Rupert Murdoch, it attempts to fashion a feel-good family-friendly triumph of union busting and privatization.","While the story is predictable, it compensates for that with great acting and a noble purpose.",A do-gooder movie so stupid and unoriginal it had to steal its title from a Tom Petty song.,"'Dumbing down' a film about educational reform defeats any point; while proficiently made, Won't Back Down's glib feel-good message deserves to fall on deaf ears.",As terrible as it sounds.
1012,Obselidia,1 hr. 36 min.,Diane Bell,2010,Chris Byrne,Frank Hoyt Taylor,Gaynor Howe,Kim Beuche,Michael Piccirilli,,0,66,,,,,
1013,Wake in Fright,1 hr. 56 min.,Ted Kotcheff,2012,Gary Bond,Donald Pleasence,Chips Rafferty,Sylvia Kay,Jack Thompson,Al Thomas,100,84,Wake in Fright is essential viewing for anyone interested in the roots of male violence.,"A Conradian parable of a man succumbing to the wild, the film is remarkable for its raw, pointed dithe suggests, and you'll find the beast concealed behind the mask of propriety.",This movie gets under your skin.,"Wake in Fright is an absolute must-see for fans of cult, off-kilter cinema.",Blends staged re-enactments with documentary footage of senseless slaughter to extremely distressing effect.
1014,Wild River,1 hr. 55 min.,Elia Kazan,1960,Montgomery Clift,Lee Remick,Jo Van Fleet,Jay C. Flippen,Albert Salmi,James Westerfield,100,82,"Both sections of the flavorful, vernacular-filled screen play have been given professional treatment.","This 1960 drama is probably Elia Kazan's finest and deepest film, a meditation on how the past both inhibits and enriches the present.","In studying a slice of national socio-economic progress in terms of people, it catches something timeless and essential in the human spirit and shapes it in the American image.",One of [Kazan's] least theatrical and most affecting films.,"Kazan's films are better known for showcasing stratospheric Method-emoting over visual expressiveness, which makes Wild River's gorgeous imagery a shock..."
1015,Bad Boy Street,1 hr. 20 min.,Todd Verow,2012,Yann De Monterno,Yann DeMonterno,Florence d'Azémar,Kevin Miranda,Todd Verow,,0,34,,,,,
1016,Hansel & Gretel,1 hr. 30 min.,Anthony C. Ferrante,2013,Dee Wallace Stone,Brent Lydic,Stephanie Greco,Sara Fletcher,Steve Hanks,M. Steven Felty,0,16,Dee Wallace is the only reason to watch what is another ho hum modernizing of a classic fairy tale...,,,,
1017,Hara-Kiri: Death of a Samurai,2 hr. 6 min.,Kikumi Yamagishi,2012,Ebizô Ichikawa,Eita,Hikari Mitsushima,Naoto Takenaka,Munetaka Aoki,Takashi Sasano,79,75,"Hara-Kiri: Death of a Samurai reveals yet another facet of this always-unpredictable filmmaker: a flair for compassionate, humane melodrama.","A quiet, narratively layered period drama with a focus squarely on character.","Miike can't seem to get enough of Hanshiro's heroics. That's not just visual excess, though.","A 3-D epic that, despite its title, is more of a soap opera than a swordplay thriller.",It's an indelible picture of a cold-hearted ruling class that has allowed self-interest and hypocrisy to override its own humanity.
1018,Officer Down,1 hr. 37 min.,Brian A. Miller,2013,Stephen Dorff,Dominic Purcell,AnnaLynne McCord,David Boreanaz,James Woods,Stephen Lang,0,27,Really just an overstuffed story that comes off not as layered but rather as an unfocused jumble.,these former A-listers deserve a better film to ply their trade in than this sloppy thriller-by-numbers,"It doesn't quite achieve its plan for a psychological breakdown, but the effort is appreciated, even in a feature as messy as this one.",,
1019,Hard Romanticker (Hâdo romanchikkâ),1 hr. 48 min.,Su-yeon Gu,2011,Shota Matsuda,Kento Nagayama,Atsurô Watabe,Tokio Emoto,Sei Ashina,Shidou Nakamura,0,43,,,,,
1020,End of Watch,1 hr. 49 min.,David Ayer,2012,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,Frank Grillo,Natalie Martinez,85,86,Ayer and his cast appear to have so convincingly nailed the way these characters talk and act that you might not even notice the film slipping from workaday grit into out-and-out myth.,"The actors, both excellent, get right into Ayer's groove. So by the time we arrive at the unsparing climax, we really know and care about these guys.","Gyllenhaal and Pena are after a lived-in camaraderie and a street-level realism. Pena, especially, succeeds; you buy him every second.",The performances here are so sharp that viewers may wish End of Watch has been shot by someone who knew how to find the right point of view for a scene and leave it there.,I'm still wondering who we're supposed to assume was holding the camera during Gyllenhaal and Anna Kendrick's sex scene.
1021,Nature Calls,1 hr. 25 min.,Todd Rohal,2012,Patton Oswalt,Johnny Knoxville,Rob Riggle,Maura Tierney,Patrice O'Neal,Darrell Hammond,5,18,"A low-watt, low-wit comedy.",It almost seems like harder work somehow to get this many comedians together and then turn out a movie that is only so fitfully funny.,"Its jokes won't appeal to anyone older than 8, but a parent who takes a child to this crass mess would be subject to prosecution.","After a lot of wandering around, we realize we've really just been walking in circles the whole time.",The humor in Nature Calls tends toward the dopey and obvious ...
1022,Nobody Walks,1 hr. 25 min.,Ry Russo-Young,2012,John Krasinski,Olivia Thirlby,Rosemarie DeWitt,India Ennenga,Justin Kirk,Rhys Wakefield,38,23,"This dreary independent drama is essentially an art-world soap opera, but without the melodramatic verve that makes some soap operas interesting.","What we have here is a household ripe with seduction, lust, betrayal and repression, all kept below the surface by increasingly strained good manners.","...a self-important nightmare ... shallow script and boring situations. Perhaps that is the simplest way to sum up the film, boring. Offensively boring.","The direction is decent, and the film is handsome. But it's finally frustrating, enigmatic in a way that suggests emptiness more than mystery.",[A] lackluster indie drama ...
1023,The Paperboy,1 hr. 46 min.,Lee Daniels,2012,Matthew McConaughey,Zac Efron,Nicole Kidman,John Cusack,David Oyelowo,Scott Glenn,43,33,There's something undeniably compelling about the cast's daringly go-for-broke performances... but Daniels fragments the narrative and throws in so many tricksy directorial touches that the whole thing becomes an annoyingly indulgent mess.,"The sweaty, lurid, self-serious nonsense is hard to take seriously, but I'll say this much for the film: it ain't boring.  ",I'll just get it out of the way now: The Paperboy is unbelievably awful.,"If you're bothered by frequent utterances of the ""N-word"" and the sight of Kidman spreading her talent - and her gams - wider than Sharon Stone in 'Basic Instinct,' you're gonna wanna look away from this sick, sizzling display.","While there's much here about family loyalty and a 'don't mess with the swamp' aspect, Daniels' film has nevertheless been most discussed for its sex stuff, with every character having some sleazy secret or a scene devoted to their raunchy pleasure."
1024,Tunnel Vision,1 hr. 22 min.,Delila Vallot,2013,Cristos,Ion Overman,Courtney Ray Geigle,Scott Haze,Leslie Mills,,0,50,,,,,
1025,Tip On A Dead Jockey,1 hr. 38 min.,Richard Thorpe,1957,Dorothy Malone,Marcel Dalio,Martin Gabel,Gia Scala,Jack Lord,,0,0,,,,,
1026,Night of the Templar,1 hr. 40 min.,Paul Sampson,2010,Paul Sampson,Udo Kier,Norman Reedus,Billy Drago,David Carradine,Ingrid Sonray,0,33,,,,,
1027,Lure of the Islands,1 hr. 1 min.,Jean Yarbrough,1942,Robert Lowery,Guinn 'Big Boy' Will...,Margie Hart,Ivan Lebedeff,Warren Hymer,Gale Storm,0,0,,,,,
1028,Citadel,1 hr. 24 min.,Ciaran Foy,2012,Aneurin Barnard,James Cosmo,Wunmi Mosaku,Jake Wilson,Amy Shiels,Arlowe Saunders,55,31,"Despite its defiantly un-PC 'fear-a-hoodie' message, the film nails its urban setting, filling every frame with a richly sustained sense of despair, decay and dread.","This is a basic story, simply and directly told by Irish writer-director Ciaran Foy.",It's all rather nausea-inducing and a bit frightening - not the film (I can only wish) but its subtextual message.,"""Citadel"" attempts to transform mundane anxieties into the stuff of a horror film. But the initial tension of the premise dissipates like a slow leak.","While Foy's efforts to create his own distinct modern urban mythos are ambitious, the result isn't entirely satisfying."
1029,Cherry Tree Lane,1 hr. 17 min.,Paul Andrew Williams,2010,Rachael Blake,Tom Butcher,Jurmayn Hunter,Ashley Chin,Sonny Muslim,Jennie Jacques,65,26,,,,,
1030,Colosio: El Asesinato,1 hr. 40 min.,Carlos Bolado,2012,Daniel Giménez Cacho,Jose María Yazpik,Daniel Jiménez Cacho,Kate del Castillo,Enoc Leano,Harold Torres,0,85,,,,,
1031,To Catch A Dollar: Muhammad Yunus Banks On America,1 hr. 23 min.,Gayle Ferraro,2011,Muhammad Yunus,,,,,,0,100,,"....if you've already drunk the Kool-Aid, this film will confirm that you made the right decision, but if you haven't, it quickly gets tedious.",,,
1032,The Dawn Patrol (Flight Commander),1 hr. 22 min.,Howard Hawks,1930,Richard Barthelmess,Douglas Fairbanks Jr...,Neil Hamilton,William Janney,James Finlayson,Clyde Cook,0,71,"Young recruits are sent airborne toward certain death, but Hawks locates a strange joy in their grim fate.",,Retains a certain power because of its great aerial footage.,A thoroughgoing blueprint for Hawksian valor,"Howard Hawks's compact economy and avoidance of stylistic razzle-dazzle allowed for concentration on storytelling, to great effect."
1033,Stella Days,1 hr. 30 min.,Thaddeus O'Sullivan,2012,Martin Sheen,Tom Hickey,Stephen Rea,Joseph O'Sullivan,Trystan Gravelle,Marcella Plunkett,60,29,"There's no shortage of blarney in Stella Days, helmer Thaddeus O'Sullivan's largely winning drama about '50s rural Ireland, but it's blarney with a twist.","Soft Irish accents and good intentions aren't enough to save the poky Irish drama ""Stella Days,"" set in a small town on the cusp of change in the 1950s.","Relaxed performances and pillow-soft photography compensate somewhat for the story's narrow ambitions, but they're not enough to invigorate a movie that clearly would rather charm than challenge.","Within the square framework, screenwriter Antoine O'Flatharta and director Thaddeus O'Sullivan are able to convey a lot about the atmosphere and attitude of a community in transition.","Thanks to its understated elegance and surpassing central performance, this modest, too-eagerly schematic period drama is more engrossing than it has a right to be."
1034,In Our Nature,1 hr. 43 min.,Brian Savelson,2012,Zach Gilford,Jena Malone,John Slattery,Gabrielle Union,David Ilku,Lisa Velten Smith,50,36,horrible,Plays distressingly like a photographed off-Broadway drama.,"The confessions and conflicts that bubble up feel real and lived, if overly familiar to connoisseurs of that dreaded genre known as the dysfunctional-family drama.","This could be renamed ""Mope-Faced Kingdom.""",Beautifully observed characterizations and fine performances enliven this sometimes static drama about an unexpected family reunion.
1035,Hello I Must Be Going,1 hr. 35 min.,Todd Louiso,2012,Melanie Lynskey,Blythe Danner,Christopher Abbott,John Rubinstein,Julie White,Dan Futterman,74,54,"""Hello I Must Be Going"" is at once an intriguing character study and a refreshingly offbeat romance.","The movie's sharp-tongued and softhearted, a Sundance kind of film that mostly sidesteps generic Sundanceyness.","Sarah Koskoff's screenplay is flagrantly duplicitous, introducing the heroine as a self-pitying sloth, then trying to pass her off as likable by making nearly all the other characters drips, snobs, or unfeeling scolds.",Succeeds almost entirely on the strength of Melanie Lynskey's heartfelt and humorous performance in the lead role.,"Sarah Koskoff's play-it-safe script and Louiso's heavy-handed direction combine to kill the potential of ""Hello I Must Be Going."""
1036,The Dynamiter,1 hr. 13 min.,Matthew Gordon,2012,John Alex Nunnery,Patrick Rutherford,William Patrick Ruff...,Joyce Baldwin,Ciara McMillian,Casey Brown,0,79,"A slow-burn, Mississippi-set drama that is steeped in atmosphere and a gritty, sweaty sense of place but that suffers from its lack of narrative momentum.",,,,
1037,A Perfect Ending,1 hr. 30 min.,Nicole Conn,2012,Barbara Niven,Jessica Clark,John Heard,Kerry Knuppe,Rebecca Staab,Morgan Fairchild,0,54,,,,,
1038,Flight,2 hr. 18 min.,Robert Zemeckis,2012,Don Cheadle,Denzel Washington,Kelly Reilly,John Goodman,Brian Geraghty,Bruce Greenwood,77,75,The best movies concerning addiction are about the characters and not the Problem. Flight is about the Problem.,"Zemeckis has enough control as a filmmaker to overshadow Flight's structural problems, thus making the film both crowd-pleasing and emotionally involving.","An ordinary drama about addiction and recovery, made somewhat noteworthy by Denzel Washington's firing-on-all-cylinders performance.","Until the last 10 minutes, Flight in large part resembles one of those tough, dark character studies they used to make in the '70s.","About all the film accomplishes is instilling a fear that the next time you fly, your pilot might be an irresponsible lush."
